Tag	dynamicColors	mergedColors
MAP3K10	cyan	cyan
RGS3	yellow	cyan
ADAM17	yellow	cyan
SLC35E4	grey	grey
PPTC7	blue	cyan
DUSP10	pink	turquoise
DDIT3	grey	grey
GPBAR1	turquoise	turquoise
LHX6	purple	turquoise
REEP1	turquoise	turquoise
WRNIP1	brown	brown
TMEM100	turquoise	turquoise
CISD1	grey	grey
GRK5	purple	turquoise
KHDC4	tan	tan
BUB3	brown	brown
C5orf52	grey	grey
SNX14	blue	cyan
EMB	red	magenta
RBBP5	green	cyan
MTFP1	brown	brown
GPR34	magenta	magenta
ARRDC5	red	magenta
SF3B3	brown	brown
FBXO41	yellow	cyan
MMP1	grey	grey
SEZ6L2	grey	grey
STRADB	grey	grey
ZC3H12C	blue	cyan
NEMP2	green	cyan
DHX16	black	cyan
IFNAR1	blue	cyan
IPO4	brown	brown
FBXO2	grey	grey
SLC2A12	grey	grey
RFTN2	turquoise	turquoise
FOXS1	pink	turquoise
MICB	magenta	magenta
